text,author
adjoining eastern side greenhouse looking towards plains languedoc room emily called contained books drawings musical instruments favourite birds plants,Ann Radcliffe
usually exercised elegant arts cultivated congenial taste native genius assisted instructions monsieur madame st aubert made early proficient,Ann Radcliffe
windows room particularly pleasant descended floor opening upon little lawn surrounded house eye led groves almond palmtrees floweringash myrtle distant landscape garonne wandered,Ann Radcliffe
sprightly melodies debonnaire steps fanciful figure dances tasteful capricious manner girls adjusted simple dress gave character scene entirely french,Ann Radcliffe
front chteau southern aspect opened upon grandeur mountains occupied ground floor rustic hall two excellent sitting rooms,Ann Radcliffe
first floor cottage second story laid bedchambers except one apartment opened balcony generally used breakfastroom,Ann Radcliffe
surrounding ground st aubert made tasteful improvements yet attachment objects remembered boyish days instances sacrificed taste sentiment,Ann Radcliffe
two old larches shaded building interrupted prospect st aubert sometimes declared believed weak enough wept fall,Ann Radcliffe
lofty terrace formed swelling bank river rose plantation orange lemon palmtrees whose fruit coolness evening breathed delicious fragrance,Ann Radcliffe
ample shade planetree spread majestic canopy towards river st aubert loved sit fine evenings summer wife children watching beneath foliage setting sun mild splendour light fading distant landscape till shadows twilight melted various features one tint sober grey,Ann Radcliffe
loved read converse madame st aubert play children resigning influence sweet affections ever attendant simplicity nature,Ann Radcliffe
often said tears pleasure trembled eyes moments infinitely delightful passed amid brilliant tumultuous scenes courted world,Ann Radcliffe
consciousness acting right diffused serenity manners nothing else could impart man moral perceptions like refined sense every surrounding blessing,Ann Radcliffe
loved soothing hour last tints light die away stars one one tremble ther reflected dark mirror waters hour others inspires mind pensive tenderness often elevates sublime contemplation,Ann Radcliffe
moon shed soft rays among foliage still lingered pastoral supper cream fruits often spread beneath,Ann Radcliffe
lost age infantine simplicity fascinating though consideration madame st auberts distress restrained expression endeavoured bear meant philosophy truth philosophy could render calm losses,Ann Radcliffe
one daughter surviving child watched unfolding infant character anxious fondness endeavoured unremitting effort counteract traits disposition might hereafter lead happiness,Ann Radcliffe
discovered early years uncommon delicacy mind warm affections ready benevolence observable degree susceptibility exquisite admit lasting peace,Ann Radcliffe
advanced youth sensibility gave pensive tone spirits softness manner added grace beauty rendered interesting object persons congenial disposition,Ann Radcliffe
st aubert much good sense prefer charm virtue penetration enough see charm dangerous possessor allowed character blessing,Ann Radcliffe
endeavoured therefore strengthen mind enure habits selfcommand teach reject first impulse feelings look cool examination upon disappointments sometimes threw way,Ann Radcliffe
instructed resist first impressions acquire steady dignity mind alone counterbalance passions bear us far compatible nature reach circumstances taught lesson fortitude often obliged witness seeming indifference tears struggles caution occasioned,Ann Radcliffe
lovely person varied expression countenance conversation awakened nicer emotions mind threw captivating grace around tendrer tints shun careless eye worlds contagious circle die,Ann Radcliffe
discovered early years taste works genius st auberts principle well inclination promote every innocent means happiness,Ann Radcliffe
thought cultivation necessary equally happiness country city life first prevent uneasy sensations indolence afford sublime pleasure taste create beautiful grand latter make dissipation less object necessity consequently interest one emilys earliest pleasures ramble among scenes nature soft glowing landscape delighted loved wild woodwalks skirted mountain still mountains stupendous recesses silence grandeur solitude impressed sacred awe upon heart lifted thoughts god heaven earth,Ann Radcliffe
scenes like would often linger along wrapt melancholy charm till last gleam day faded west till lonely sound sheepbell distant bark watchdog broke stillness evening,Ann Radcliffe
gloom woods trembling leaves intervals breeze bat flitting twilight cottagelights seen lost circumstances awakened mind effort led enthusiasm poetry,Ann Radcliffe
favourite walk little fishinghouse belonging st aubert woody glen margin rivulet descended pyrenees foaming among rocks wound silent way beneath shades reflected,Ann Radcliffe
sometimes shattered face rock seen crowned wild shrubs shepherds cabin seated cliff overshadowed dark cypress waving ash,Ann Radcliffe
emerging deep recesses woods glade opened distant landscape rich pastures vinecovered slopes gascony gradually declined plains winding shores garonne groves hamlets villas outlines softened distance melted eye one rich harmonious tint,Ann Radcliffe
favourite retreat st aubert frequently withdrew fervour noon wife daughter books came sweet evening hour welcome silent dusk listen music nightingale,Ann Radcliffe
sometimes brought music awakened every fairy echo tender accents oboe often tones emilys voice drawn sweetness waves trembled,Ann Radcliffe
go tell goddess fairy scene next light steps wind woodwalks green whence tears tender sorrows rise ah,Ann Radcliffe
paint form soulillumind eyes sweet expression pensive face lightning smile animated grace portrait well lovers voice supplies speaks heart must feel tongue would say yet ah,Ann Radcliffe
glanced round little circle acquaintance without detained suspicion could addressed compelled rest uncertainty uncertainty would painful idle mind,Ann Radcliffe
little vanity excited incertitude forbade presume upon inspired sonnet forbade also disbelieve passed away incident dismissed thoughts amid books studies exercise social charities,Ann Radcliffe
soon period anxiety awakened indisposition father attacked fever though thought dangerous kind gave severe shock constitution,Ann Radcliffe
madame st aubert emily attended unremitting care recovery slow advanced towards health madame seemed decline,Ann Radcliffe
basket provisions sent thither books emilys lute fishingtackle use never could find amusement torturing destroying,Ann Radcliffe
green woods pastures flowery turf blue concave heavens balmy air murmur limpid stream even hum every little insect shade seem revivify soul make mere existence bliss,Ann Radcliffe
madame st aubert reanimated cheerfulness recovery husband longer sensible indisposition lately oppressed sauntered along woodwalks romantic glen conversed daughter often looked alternately degree tenderness filled eyes tears,Ann Radcliffe
felt tender enthusiasm stealing upon degree became almost painful features assumed serious air could forbear secretly sighing perhaps shall time look back moments summit happiness hopeless regret,Ann Radcliffe
let misuse useless anticipation let hope shall live mourn loss dearer life relieve perhaps indulge pensive temper mind bade emily fetch lute knew touch sweet pathos,Ann Radcliffe
drew near fishinghouse surprised hear tones instrument awakened hand taste uttered plaintive air whose exquisite melody engaged attention,Ann Radcliffe
listened profound silence afraid move spot lest sound steps occasion lose note music disturb musician,Ann Radcliffe
continued listen till timidity succeeded surprise delight timidity increased remembrance pencilled lines formerly seen hesitated whether proceed return,Ann Radcliffe
lute lay table everything seemed undisturbed began believe another instrument heard till remembered followed madame st aubert spot lute left window seat,Ann Radcliffe
felt alarmed yet knew wherefore melancholy gloom evening profound stillness place interrupted light trembling leaves heightened fanciful apprehensions desirous quitting building perceived grow faint sat,Ann Radcliffe
tried recover pencilled lines wainscot met eye started seen stranger endeavouring conquer tremor spirits rose went window,Ann Radcliffe
reached green summit shadowed palmtrees overlooking valleys plains gascony seated turf eyes wandered glorious scene inhaled sweet breath flowers herbs enriched grass emily played sung several favourite airs delicacy expression much excelled,Ann Radcliffe
music conversation detained enchanting spot till suns last light slept upon plains till white sails glided beneath mountains garonne wandered became dim gloom evening stole landscape,Ann Radcliffe
stranger fishinghouse absence lute additional lines pencil already informed purport lines unreasonable believe poet musician thief person,Ann Radcliffe
though music heard written lines seen disappearance picture formed combination circumstances remarkable irresistibly restrained mentioning secretly determining however never visit fishinghouse without monsieur madame st aubert,Ann Radcliffe
returned pensively chteau emily musing incident occurred st aubert reflecting placid gratitude blessings possessed madame st aubert somewhat disturbed perplexed loss daughters picture,Ann Radcliffe
drew near house observed unusual bustle sound voices distinctly heard servants horses seen passing trees length wheels carriage rolled along,Ann Radcliffe
left paris days way estate ten leagues distant la valle monsieur quesnel purchased several years st aubert,Ann Radcliffe
quesnel lived altogether world aim consequence splendour object taste address knowledge character carried forward attainment almost courted,Ann Radcliffe
man disposition surprising virtues st aubert overlooked pure taste simplicity moderated wishes considered marks weak intellect confined views,Ann Radcliffe
marriage sister st aubert mortifying ambition designed matrimonial connection formed assist attain consequence much desired offers made persons whose rank fortune flattered warmest hope,Ann Radcliffe
sister addressed also st aubert perceived thought perceived happiness splendour hesitate forego last attainment former,Ann Radcliffe
whether monsieur quesnel thought would readily sacrificed sisters peace gratification ambition marriage st aubert expressed private contempt spiritless conduct connection permitted,Ann Radcliffe
madame st aubert though concealed insult husband felt perhaps first time resentment lighted heart though regard dignity united considerations prudence restrained expression resentment ever mild reserve manner towards quesnel understood felt,Ann Radcliffe
first compliments arrangements night made quesnel began display intelligence connections st aubert long enough retirement find topics recommended novelty listened degree patience attention guest mistook humility wonder,Ann Radcliffe
latter indeed described festivities turbulence period permitted court henry third minuteness somewhat recompensed ostentation came speak character duke de joyeuse secret treaty knew negotiating porte light henry navarre received st aubert recollected enough former experience assured guest could inferior class politicians importance subjects upon committed could rank pretended belong,Ann Radcliffe
madame quesnel meanwhile expressing madame st aubert astonishment could bear pass life remote corner world called describing wish probably exciting envy splendour balls banquets processions given court honour nuptials duke de joyeuse margaretta lorrain sister queen,Ann Radcliffe
described equal minuteness magnificence seen excluded emilys vivid fancy listened ardent curiosity youth heightened scenes heard madame st aubert looking family felt tear stole eye though splendour may grace happiness virtue bestow,Ann Radcliffe
twelve years st aubert said quesnel since purchased family estate somewhere thereabout replied st aubert suppressing sigh,Ann Radcliffe
near five years since resumed quesnel paris neighbourhood place world live immersed politics many affairs moment hands find difficult steal away even month two st aubert remaining silent quesnel proceeded sometimes wondered lived capital accustomed company exist elsewhere especially remote country neither hear see anything short scarcely conscious life live family said st aubert contented know happiness formerly knew life mean expend thirty forty thousand livres improvements said quesnel without seeming notice words st aubert design next summer bring friends duke de durefort marquis ramont pass month two st auberts enquiry intended improvements replied take whole east wing chteau raise upon site set stables,Ann Radcliffe
shall build said salle manger salon salle au commune number rooms servants present accommodation third part people accommodated fathers household said st aubert grieved old mansion thus improved small one notions somewhat enlarged since days said quesnel thought decent style living would endured even calm st aubert blushed words anger soon yielded contempt,Ann Radcliffe
enthusiasm scarcely contend either use beauty sapless old tree good god exclaimed st aubert surely destroy noble chesnut flourished centuries glory estate,Ann Radcliffe
often youth climbed among broad branches sat embowered amidst world leaves heavy shower pattered rain drop reached,Ann Radcliffe
often sat book hand sometimes reading sometimes looking branches upon wide landscape setting sun till twilight came brought birds home little nests among leaves,Ann Radcliffe
often pardon added st aubert recollecting speaking man could neither comprehend allow feelings talking times feelings oldfashioned taste would spare venerable tree certainly come said quesnel believe shall plant lombardy poplars among clumps chesnut shall leave avenue madame quesnel partial poplar tells much adorns villa uncle far venice banks brenta indeed continued st aubert spiry form intermingled pine cypress plays light elegant porticos colonnades unquestionably adorns scene among giants forest near heavy gothic mansion well good sir said quesnel dispute,Ann Radcliffe
propos venice thoughts going thither next summer events may call take possession villa tell charming imagined,Ann Radcliffe
case shall leave improvements mention another year may perhaps tempted stay time italy emily somewhat surprised hear talk tempted remain abroad mentioned presence necessary paris difficulty could steal away month two st aubert understood selfimportance man well wonder trait possibility projected improvements might deferred gave hope might never take place,Ann Radcliffe
subject conversation known whatever might st aubert returned supperroom seemed much disturbed shade sorrow sometimes fell upon features alarmed madame st aubert,Ann Radcliffe
alone tempted enquire occasion delicacy mind ever appeared conduct restrained considered st aubert wished acquainted subject concern would wait enquiries,Ann Radcliffe
guests dining chteau set cool day epourville whither gave madame st aubert pressing invitation prompted rather vanity displaying splendour wish make friends happy,Ann Radcliffe
emily returned delight liberty presence restrained books walks rational conversation madame st aubert seemed rejoice less delivered shackles arrogance frivolity imposed,Ann Radcliffe
madame st aubert excused sharing usual evening walk complaining quite well st aubert emily went together,Ann Radcliffe
chose walk towards mountains intending visit old pensioners st aubert moderate income contrived support though probable quesnel large one could afforded,Ann Radcliffe
distributing pensioners weekly stipends listening patiently complaints redressing grievances others softening discontents look sympathy smile benevolence st aubert returned home woods fall eve fairypeople throng various games revelry pass summer night village stories tell,Ann Radcliffe
thomson evening gloom woods always delightful said st aubert whose mind experienced sweet calm results consciousness done beneficent action disposes receive pleasure every surrounding object,Ann Radcliffe
remember youth gloom used call forth fancy thousand fairy visions romantic images yet wholly insensible high enthusiasm wakes poets dream linger solemn steps deep shades send forward transforming eye distant obscurity listen thrilling delight mystic murmuring woods dear father said emily sudden tear started eye exactly describe felt often thought nobody ever felt,Ann Radcliffe
gleams near root large chestnut look sir admirer nature said st aubert little acquainted appearances know glowworm,Ann Radcliffe
well dear sir said since allow alliance may venture anticipated almost dare venture repeat verses made one evening woods nay replied st aubert dismiss almost venture quite let us hear vagaries fancy playing mind,Ann Radcliffe
given one spells need envy fairies strong enough enchant judgment sir said emily disclose images need envy,Ann Radcliffe
pleasant greenwoods deepmatted shade midsummers eve fresh rain oer yellow beams slope sparkle thro glade swiftly thin air light swallows soar,Ann Radcliffe
sweeter sweeter still sun sinks rest twilight comes fairies gay tripping forestwalk flowrs unprest bow tall heads beneath frolic play,Ann Radcliffe
musics softest sounds dance away hour till moonlight steals among trembling leaves checquers ground guides bowr long haunted bowr nightingale grieves,Ann Radcliffe
dance till sad song done silent night mourning attend often dying notes pity vow sacred haunts mortals defend,Ann Radcliffe
among mountains sinks evning star changing moon forsakes shadowy sphere cheerless would tho fairies pale light came near,Ann Radcliffe
often travellers benighted way glimmer path would guide thro grove bind magic spells lead far astray mire leave till stars burnt strangelooking shapes frisk ground afar woods raise dismal shout till shrink cell terror sound,Ann Radcliffe
see tiny elves come dancing ring merry merry pipe tabor horn timbrel clear lute dulcet string round oak go till peeping morn,Ann Radcliffe
yonder glade two lovers steal shun fairyqueen frowns upon plighted vows jealous yestereve lighted along dewy green seek purple flowr whose juice spells free,Ann Radcliffe
punish keeps afar jocund band merry merry pipe tabor lute creep near yonder oak wave fairy wand dance cease music mute,Ann Radcliffe
purple flowr whose leaves charms foil knew like fays draw juice throw wind id slave longer traveller beguile help faithful lovers fear fairy kind,Ann Radcliffe
soon vapour woods wander afar fickle moon fade stars disappear cheerless tho fairies pale light come near,Ann Radcliffe
whatever st aubert might think stanzas would deny daughter pleasure believing approved given commendation sunk reverie walked silence,Ann Radcliffe
faint erroneous ray glancd th imperfect surfaces things flung half image straining eye waving woods villages streams rocks mountaintops long retain ascending gleam one swimming scene uncertain beheld,Ann Radcliffe
following day symptoms fever appeared st aubert sent medical advice learned disorder fever nature lately recovered,Ann Radcliffe
indeed taken infection attendance upon constitution weak throw disease immediately lurked veins occasioned heavy languor complained,Ann Radcliffe
remembered feelings reflections called momentary gloom upon mind day last visited fishinghouse company madame st aubert admitted presentiment illness would fatal one,Ann Radcliffe
frequently fixed upon anxious friends expression pity tenderness anticipated sorrow awaited seemed say sakes sufferings regretted life,Ann Radcliffe
affliction heavier arrives endeavour teach resignation example physician affected promised obey told st aubert somewhat abruptly nothing expect,Ann Radcliffe
latter philosopher enough restrain feelings received information consideration increased affliction observance grief would occasion wife enabled time command presence,Ann Radcliffe
emily first overwhelmed intelligence deluded strength wishes hope sprung mind mother would yet recover pertinaciously adhered almost last hour,Ann Radcliffe
composure awaited death could derived retrospect life governed far human frailty permits consciousness always presence deity hope higher world,Ann Radcliffe
resignation expressed firm hope meeting future world friends left effort sometimes appeared conceal sorrow temporary separation frequently affected st aubert much oblige leave room,Ann Radcliffe
shakespeare madame st aubert interred neighbouring village church husband daughter attended grave followed long train peasantry sincere mourners excellent woman,Ann Radcliffe
st aubert followed thither took hand silence continued weep moments could far command voice speak,Ann Radcliffe
else ought seek else find emily checked tears followed father parlour servants assembled st aubert read low solemn voice evening service added prayer soul departed,Ann Radcliffe
service ended servants withdrawn tenderly kissed emily said endeavoured teach earliest youth duty selfcommand pointed great importance life preserves us various dangerous temptations call us rectitude virtue limits indulgences termed virtuous yet extended beyond certain boundary vicious consequence evil,Ann Radcliffe
excess vicious even sorrow amiable origin becomes selfish unjust passion indulged expence duties duties mean owe well others,Ann Radcliffe
indulgence excessive grief enervates mind almost incapacitates partaking various innocent enjoyments benevolent god designed sunshine lives,Ann Radcliffe
would annihilate feelings child would teach command whatever may evils resulting susceptible heart nothing hoped insensible one hand vice vice deformity softened effect consoled semblance possibility good,Ann Radcliffe
know sufferings therefore convinced mine light words occasions often repeated destroy even sources honest emotion merely display selfish ostentation false philosophy,Ann Radcliffe
said thus much cannot bear see wasting useless sorrow want resistance due mind said till period reasoning must yield nature past another excessive indulgence sunk habit weighs elasticity spirits render conquest nearly impossible come,Ann Radcliffe
emily show willing avoid emily smiled tears upon father dear sir said voice trembled would added show worthy daughter mingled emotion gratitude affection grief overcame,Ann Radcliffe
st aubert somewhat surprised see though often pressed come chteau never till accepted invitation came without ceremony reserve entering parlour old friend,Ann Radcliffe
manners words appeared sympathise friends spoke little subject grief minute attention gave modulated voice softened look accompanied came heart spoke,Ann Radcliffe
melancholy period st aubert likewise visited madame cheron surviving sister years widow resided estate near thoulouse,Ann Radcliffe
condolements words wanting understood magic look speaks soul voice sinks like balm heart assured st aubert sincerely sympathised praised virtues late wife offered considered consolation,Ann Radcliffe
emily wept unceasingly spoke st aubert tranquil listened said silence turned discourse upon another subject,Ann Radcliffe
change place amuse said wrong give way grief st aubert acknowledged truth words course time felt reluctant ever quit spot past happiness consecrated,Ann Radcliffe
presence wife sanctified every surrounding scene day gradually softened acuteness suffering assisted tender enchantment bound home,Ann Radcliffe
length entered avenue whose lofty trees often delighted boy whose melancholy shade congenial tone spirits,Ann Radcliffe
every feature edifice distinguished air heavy grandeur appeared successively branches trees broad turret arched gateway led courts drawbridge dry foss surrounded whole,Ann Radcliffe
sound carriage wheels brought troop servants great gate st aubert alighted led emily gothic hall longer hung arms ancient banners family,Ann Radcliffe
large table used stretch along upper end hall master mansion loved display hospitality whence peal laughter song conviviality often resounded removed even benches surrounded hall longer,Ann Radcliffe
st aubert calm deliberate preserved dignity without assuming importance quesnel depressed presence without exactly knowing wherefore,Ann Radcliffe
general conversation st aubert requested speak alone emily left madame quesnel soon learned large party invited dine chteau compelled hear nothing past irremediable ought prevent festivity present hour,Ann Radcliffe
st aubert told company expected felt mixed emotion disgust indignation insensibility quesnel prompted return home immediately,Ann Radcliffe
informed madame cheron asked meet looked emily considered time might come enmity uncle would prejudicial determined incur conduct would resented indecorous persons showed little sense decorum,Ann Radcliffe
among visitors assembled dinner two italian gentlemen one named montoni distant relation madame quesnel man forty uncommonly handsome person features manly expressive whose countenance exhibited upon whole haughtiness command quickness discernment character,Ann Radcliffe
emily shocked salutation madame cheron met father dear brother said concerned see look ill pray advice st aubert answered melancholy smile felt much usual emilys fears made fancy father looked worse really,Ann Radcliffe
emily would amused new characters saw varied conversation passed dinner served style splendour seldom seen spirits less oppressed,Ann Radcliffe
guests signor montoni lately come italy spoke commotions period agitated country talked party differences warmth lamented probable consequences tumults,Ann Radcliffe
friend spoke equal ardour politics country praised government prosperity venice boasted decided superiority italian states,Ann Radcliffe
turned ladies talked eloquence parisian fashions french opera french manners latter subject fail mingle particularly agreeable french taste,Ann Radcliffe
could disengage assiduities ladies sometimes addressed emily knew nothing parisian fashions parisian operas modesty simplicity correct manners formed decided contrast female companions,Ann Radcliffe
stood shade looked among branches still luxuriant saw blue sky trembling pursuits events early days crowded fast mind figures characters friends long since gone earth felt almost insulated nobody emily heart turn,Ann Radcliffe
stood lost amid scenes years fancy called till succession closed picture dying wife started away forget possible social board,Ann Radcliffe
st aubert ordered carriage early hour emily observed usually silent dejected way home considered effect visit place spoke eloquently former times suspected cause grief concealed,Ann Radcliffe
entering chteau felt depressed ever ever missed presence dear parent whenever home used welcome return smiles fondness silent forsaken,Ann Radcliffe
week week passed away passed stole something harshness affliction till mellowed tenderness feeling heart cherishes sacred,Ann Radcliffe
constitution never recovered late attack fever succeeding shock received madame st auberts death produced present infirmity,Ann Radcliffe
physician ordered travel perceptible sorrow seized upon nerves weakened preceding illness variety scene probable would amusing mind restore proper tone,Ann Radcliffe
days emily occupied preparations attend endeavours diminish expences home journey purpose determined length dismiss domestics,Ann Radcliffe
emily seldom opposed fathers wishes questions remonstrances would asked take servant represented infirm health made one almost necessary,Ann Radcliffe
eve departure found dismissed jacques francis mary detained theresa old housekeeper extremely surprised ventured ask reason done,Ann Radcliffe
save expences dear replied going expensive excursion physician prescribed air languedoc provence st aubert determined therefore travel leisurely along shores mediterranean towards provence,Ann Radcliffe
retired early chamber night departure emily books things collect clock struck twelve finished remembered drawing instruments meant take parlour,Ann Radcliffe
went fetch passed fathers room perceiving door half open concluded study since death madame st aubert frequently custom rise restless bed go thither compose mind,Ann Radcliffe
stairs looked room without finding returned chamber tapped door receiving answer stepped softly certain whether,Ann Radcliffe
emily believed father closet surprised late hour apprehended unwell going enquire considering sudden appearance hour might alarm removed light staircase stepped softly closet,Ann Radcliffe
looking panes glass saw seated small table papers reading deep attention interest often wept sobbed aloud,Ann Radcliffe
could witness sorrow without anxious know subject therefore continued observe silence concluding papers letters late mother,Ann Radcliffe
presently knelt look solemn seldom seen assume mingled certain wild expression partook horror character prayed silently considerable time,Ann Radcliffe
never knew till picture lady mother much less one evidently valued highly looked repeatedly certain resemblance madame st aubert became entirely convinced designed person,Ann Radcliffe
length st aubert returned picture case emily recollecting intruding upon private sorrows softly withdrew chamber,Ann Radcliffe
warbling woodland resounding shore pomp groves garniture fields genial ray morning gilds echoes song even mountains sheltring bosom shields dread magnificence heaven canst thou renounce hope forgiven,Ann Radcliffe
minstrel st aubert instead taking direct road ran along feet pyrenees languedoc chose one winding heights afforded extensive views greater variety romantic scenery,Ann Radcliffe
turned little way take leave barreaux found botanizing wood near chteau told purpose st auberts visit expressed degree concern friend thought scarcely possible feel similar occasion,Ann Radcliffe
ascended heights st aubert often looked back upon chteau plain tender images crowded mind melancholy imagination suggested return though checked wandering thought still continued look till haziness distance blended home general landscape st aubert seemed drag remove lengthening chain,Ann Radcliffe
emily continued sunk musing silence leagues melancholy reverie emily first awoke young fancy struck grandeur objects around gradually yielded delightful impressions,Ann Radcliffe
road descended glens confined stupendous walls rock grey barren except shrubs fringed summits patches meagre vegetation tinted recesses wild goat frequently browsing,Ann Radcliffe
emily could restrain transport looked pine forests mountains upon vast plains enriched woods towns blushing vines plantations almonds palms olives stretched along till various colours melted distance one harmonious hue seemed unite earth heaven,Ann Radcliffe
whole glorious scene majestic garonne wandered descending source among pyrenees winding blue waves towards bay biscay,Ann Radcliffe
ruggedness unfrequented road often obliged wanderers alight little carriage thought amply repaid inconvenience grandeur scenes muleteer led animals slowly broken ground travellers leisure linger amid solitudes indulge sublime reflections soften elevate heart fill certainty present god,Ann Radcliffe
still enjoyment st aubert touched pensive melancholy gives every object mellower tint breathes sacred charm around,Ann Radcliffe
provided part evil encountered want convenient inns carrying stock provisions carriage might take refreshment pleasant spot open air pass nights wherever happen meet comfortable cottage,Ann Radcliffe
mind also provided work botany written barreaux several latin italian poets emilys pencil enabled preserve combinations forms charmed every step,Ann Radcliffe
st aubert much struck determined could hear road penetrate among mountains bending way rather south emerge rousillon coast mediterranean along part country languedoc,Ann Radcliffe
soon midday reached summit one cliffs bright verdure palmtrees adorn like gems tremendous walls rocks overlooked greater part gascony part languedoc,Ann Radcliffe
shade fresh water spring gliding among turf trees thence precipitated rock rock till dashing murmurs lost abyss though white foam long seen amid darkness pines,Ann Radcliffe
seated shade palms st aubert pointed observation course rivers situation great towns boundaries provinces science rather eye enabled describe,Ann Radcliffe
notwithstanding occupation talked awhile suddenly became silent thoughtful tears often swelled eyes emily observed sympathy heart told cause,Ann Radcliffe
scene bore resemblance though much grander scale favourite one late madame st aubert within view fishinghouse,Ann Radcliffe
st aubert remembered last time visiting spot company also mournfully presaging thoughts arisen mind even thus soon realised,Ann Radcliffe
returned countenance recovered usual serenity took emilys hand pressed affectionately without speaking soon called muleteer sat little distance concerning road among mountains towards rousillon,Ann Radcliffe
michael said several way know far extended even whether passable st aubert intend travel sunset asked village could reach time,Ann Radcliffe
muleteer calculated could easily reach mateau present road took road sloped south towards rousillon hamlet thought could gain evening shut,Ann Radcliffe
st aubert hesitation determined take latter course michael finished meal harnessed mules set forward soon stopped st aubert saw homage cross stood rock impending way,Ann Radcliffe
concluded devotions smacked whip air spite rough road pain poor mules lately lamenting rattled full gallop along edge precipice made eye dizzy look,Ann Radcliffe
emily terrified almost fainting st aubert apprehending still greater danger suddenly stopping driver compelled sit quietly trust fate strength discretion mules seemed possess greater portion latter quality master carried travellers safely valley stopped upon brink rivulet watered,Ann Radcliffe
leaving splendour extensive prospects entered narrow valley screened rocks rocks piled magic spell scorchd lightnings ivy green,Ann Radcliffe
living creature appeared except lizard scrambling among rocks often hanging upon points dangerous fancy shrunk view,Ann Radcliffe
scene salvator would chosen existed canvas st aubert impressed romantic character place almost expected see banditti start behind projecting rock kept hand upon arms always travelled,Ann Radcliffe
advanced valley opened savage features gradually softened towards evening among heathy mountains stretched far perspective along solitary sheepbell heard voice shepherd calling wandering flocks nightly fold,Ann Radcliffe
cabin partly shadowed corktree ilex st aubert observed flourish higher regions air trees except fir human habitation yet appeared,Ann Radcliffe
along bottom valley vivid verdure spread little hollow recesses mountains shade oak chestnut herds cattle grazing,Ann Radcliffe
sun setting upon valley last light gleamed upon water heightened rich yellow purple tints heath broom overspread mountains,Ann Radcliffe
st aubert enquired michael distance hamlet mentioned man could certainty tell emily began fear mistaken road,Ann Radcliffe
human assist direct left shepherd cabin far behind scene became obscured twilight eye could follow distant perspective valley search cottage hamlet,Ann Radcliffe
michael seemed endeavouring keep courage singing music however kind disperse melancholy sung sort chant one dismal ditties present auditors ever heard st aubert length discovered vesperhymn favourite saint,Ann Radcliffe
michael ended ditty nothing heard drowsy murmur breeze among woods light flutter blew freshly carriage,Ann Radcliffe
st aubert drew forth pistol ordered michael proceed fast possible long obeyed horn sounded made mountains ring,Ann Radcliffe
gun slung across shoulders hunters horn hung belt hand small pike held added manly grace figure assisted agility steps,Ann Radcliffe
st aubert thanked offer pleased chevalierlike air open countenance asked take seat carriage stranger acknowledgment declined adding would keep pace mules,Ann Radcliffe
